CANNABIS,,,,,,,,,,,,,
Annual Prevalence of Use as a percentage of the population aged 15-64 (unless otherwise indicated) ,,,,,,,,,,,,,
Region,Sub-region,Country,Best,Low,High,Male,Female,Year,Age,Source,Method,"Adjustment/
 notes",Specific notes
Africa,East Africa,Kenya,2.10,0.30,4.00,,,2007,15-65,Govt,HHS,"b, e",
,,Kenya,7.10,,,,,2004,15-64 ,"ARQ, NGO, Council of Europe ","SS, A ","c, d, e, f ",
,,Madagascar,9.10,,,,,2004,15-64,ARQ,"SS, A","d, e",
,,Mauritius,1.08,,,,,2009,15-54,Government source,,a,
,,Mauritius,3.90,,,,,2004,15-54 ,ARQ ,,,
,North Africa,Algeria,0.52,,,1.06,0.03,2010,12+,ARQ,HHS,,
,,Egypt,6.24,2.90,9.58,,,2006,15-64,Govt;  Academic Research,"HHS, SS","a, d",
,,Morocco,4.22,,,,,2004,15-64,ARQ,HHS ,,
,,Tunisia,2.60,,,,,2013,15-64,ARQ,HHS,,
,Southern Africa,South Africa,3.65,2.88,4.42,,,2011,15-64,ARQ,SS,"d, e",
,,South Africa,4.26,3.52,6.18,,,2008,15-64 ,ARQ ,HHS ,"a, e ",
,,Zambia,9.50,4.00,15.60,,,2004,15-64,Govt;  Academic Research,SS,"d, e",
,,Zambia,17.70,,,,,2003,,UNODC Estimate ,,,
,West and Central Africa,Burkina Faso,2.90,,,,,2006,15-64,UNODC Estimate,,"d, e",
,,Cabo Verde,2.40,,,,,2012,15-64,UNODC/Govt.,HHS, ,
,,Cabo Verde,8.10,,,,,2004,15-64,UNODC Estimate,,"d, e",
,,Liberia,3.18,1.53,4.83,,,2008,15-64,UNODC Estimate,,"a, b, e",
,,Nigeria,14.30,11.76,16.84,,,2008,15-64,ARQ,HHS,"a, b, e",
,,Sierra Leone,5.42,3.52,7.32,,,2010,15-64,UNODC Estimate,,"a, b, e",
,,Togo,1.00,0.20,3.10,,,2009,15-64,UNODC Estimate,SS,"d, e",
,,Togo,2.73,,,,,2006,15-64 ,UNODC Estimate ,SS ,"d, e ",
Americas,Caribbean,Bahamas,5.54,3.20,7.89,,,2008,15-64,ARQ,SS,"d, e",
,,Bahamas,4.70,,,,,2003,15-64 ,UNODC Estimate ,SS ,"d, e ",
,,Barbados,8.30,,,,,2006,15-64,CICAD,HHS,,
,,Bermuda,10.90,10.70,11.20,,,2009,16-65,Government source,HHS,,
,,Dominican Republic,0.31,0.25,1.41,,,2008,15-64,ARQ,SS,"d, e",
,,Haiti,1.51,0.26,2.75,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Haiti,1.41,0.43,2.15,,,2005,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,7.21,4.25,10.17,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Jamaica,9.86,7.52,12.20,,,2006,15-64,Government source,SS,"d, e",
,,Puerto Rico,4.88,3.10,6.65,,,2005,15-64,Government source,SS,"d, e",
,,Saint Lucia,8.87,5.64,12.10,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Saint Lucia,9.00,,,,,2006,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.03,1.55,6.52,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Trinidad and Tobago,4.66,2.91,6.42,,,2006,15-64,Government source,SS,"d, e",
,Central America,Belize,8.45,,,,,2005,12-65,CICAD,HHS,,
,,Costa Rica,2.76,,,4.40,1.07,2010,15-64,ARQ,HHS,,
,,Costa Rica,1.02,,,,,2006,12-70,ARQ ,HHS ,,
,,El Salvador,2.03,,,3.93,0.62,2014,12-65,ARQ ,HHS,,
,,El Salvador,0.39,0.35,0.43,,,2005,12-65,CICAD,HHS,,
,,Guatemala,4.80,,,,,2005,12-65,UNODC Estimate,"HHS, SS","c, d",
,,Honduras,0.83,0.41,1.59,,,2005,12-65,UNODC Estimate,SS,"d, e",
,,Honduras,1.50,,,,,2004,15-64 ,UNODC Estimate ,SS ,"d, e ",
,,Nicaragua,1.07,1.06,1.07,,,2006,12-65,UNODC Estimate,HHS,c,
,,Nicaragua,2.20,,,,,2002,12-65,CICAD ,HHS ,,
,,Panama,0.77,,,1.52,0.14,2015,12-65,ARQ,HHS,,Urban areas. Cannabis herb.
,,Panama,3.55,3.40,3.70,,,2003,12-65,UNODC Estimate,HHS,"d, e",
,North America,Canada,14.73,,,17.60,11.86,2015,15-64,ARQ,HHS,,
,,Canada,12.70,,,16.40,9.00,2013,15-64,ARQ,HHS,,
,,Mexico,1.20,,,2.20,0.30,2011,12-65,ARQ,HHS,,
,,Mexico,1.00,,,,,2008,12-65,Government source,HHS,,
,,United States of America,16.50,,,19.40,13.60,2015,15-64,ARQ,HHS,,Cannabis herb
,,United States of America,16.20,,,19.90,12.70,2014,15-64,ARQ,HHS,,
,South America,Argentina,3.20,,,4.70,1.70,2011,16-65,ARQ,HHS,,
,,Argentina,6.90,,,,,2006,12-65,ARQ,HHS ,,
,,Bolivia (Plurinational State of),1.27,,,1.86,0.81,2013,12-65,ARQ,HHS,,
,,Bolivia (Plurinational State of),4.50,,,8.90,1.10,2007,12-65,ARQ,HHS,,
,,Brazil,2.50,,,,,2016,15-64,Government source,HHS,,
,,Brazil,2.60,,,,,2005,12-65,Government source ,HHS,c,
,,Chile,11.83,,,15.37,8.38,2014,15-64,ARQ,HHS,,
,,Chile,7.47,,,10.52,4.52,2012,15-64,ARQ,HHS,,
,,Colombia,3.27,2.94,3.60,5.36,1.30,2013,12-65,ARQ,HHS,,
,,Colombia,2.27,1.93,2.61,3.79,0.93,2008,12-65,ARQ,,,
,,Ecuador,0.67,,,0.82,0.53,2013,12-64,Encuesta Nacional Sobre el uso de drogas en poblacion General ,HHS,,
,,Ecuador,0.70,,,,,2007,12-65,ARQ,HHS,,
,,Guyana,4.04,1.56,6.53,,,2010,15-64,UNODC Estimate,SS,"d, e",
,,Guyana,3.50,0.97,5.95,,,2008,15-64,UNODC Estimate,,,
,,Paraguay,1.60,,,,,2005,12-65,UNODC Estimate,,,
,,Peru,1.03,,,1.98,0.22,2010,12-65,ARQ,HHS,,
,,Peru,0.70,,,,,2006,15-64,Government source,HHS,,
,,Suriname,4.25,3.80,4.70,,,2007,12-65,Government source,HHS,,
,,Suriname,2.00,,,,,2002,15-64,UNODC Estimate ,,,
,,Uruguay,9.30,,,12.50,6.40,2014,15-65,ARQ,HHS,,
,,Uruguay,8.30,,,11.50,5.40,2011,15-64,ARQ,HHS,,
,,Venezuela (Bolivarian Republic of),1.56,,,,,2011,12-65,Government source,HHS,,
